sistema,algoritmo,N,np,hilos,n,media_s,std_s,min_s,max_s,speedup,eficiencia
Soluciones,FxC,500,2,1,60,0.7095441333333333,0.0897949436175003,0.60426,0.987366,1.0,1.0
Soluciones,FxC,500,2,2,60,0.6847379000000002,0.04157692704573177,0.591569,0.870048,1.0362273409042104,0.5181136704521052
Soluciones,FxC,500,2,4,60,0.6791778999999998,0.05480631738907973,0.594878,0.854137,1.0447102789023812,0.2611775697255953
Soluciones,FxC,500,3,1,30,0.3536610333333334,0.04629546635767603,0.302707,0.493366,1.0,1.0
Soluciones,FxC,500,3,2,30,0.22706713333333334,0.034339306134147686,0.168589,0.331392,1.5575174977620423,0.7787587488810211
Soluciones,FxC,500,3,4,30,0.14610293333333332,0.011593249319690564,0.12812,0.196135,2.4206292458650163,0.6051573114662541
Soluciones,FxC,500,5,1,30,0.1862867,0.020698147378615712,0.168025,0.252998,1.0,1.0
Soluciones,FxC,500,5,2,30,0.13335059999999999,0.014745732008115853,0.109519,0.157907,1.3969693424701504,0.6984846712350752
Soluciones,FxC,500,5,4,30,0.08790979999999998,0.004052752843906609,0.082108,0.097987,2.1190663612020506,0.5297665903005127
Soluciones,FxC,1000,2,1,60,5.889563933333333,0.3629097940383321,5.379614,7.444589,1.0,1.0
Soluciones,FxC,1000,2,2,60,5.835885266666667,0.32580004060746515,5.310246,6.820821,1.0091980332398356,0.5045990166199178
Soluciones,FxC,1000,2,4,60,5.680150683333334,0.19130539831561125,5.367626,6.290923,1.036867551879294,0.2592168879698235
Soluciones,FxC,1000,3,1,30,2.8800619666666663,0.2852457611076725,2.569819,3.608083,1.0,1.0
Soluciones,FxC,1000,3,2,30,1.6320618999999996,0.13721299357476419,1.355757,1.917885,1.764676919831697,0.8823384599158485
Soluciones,FxC,1000,3,4,30,1.0590270333333334,0.12199423388592037,0.841809,1.431954,2.7195358343228944,0.6798839585807236
Soluciones,FxC,1000,5,1,30,1.4774153,0.14406488377622986,1.272491,1.804978,1.0,1.0
Soluciones,FxC,1000,5,2,30,0.8662943666666666,0.09345847692055118,0.763904,1.1126,1.7054425803145976,0.8527212901572988
Soluciones,FxC,1000,5,4,30,0.5417097333333333,0.051335243241705374,0.432574,0.65998,2.72731909561406,0.681829773903515
Soluciones,FxC,2000,2,1,60,83.04811131666666,4.591115940813291,76.224778,101.61572,1.0,1.0
Soluciones,FxC,2000,2,2,60,75.90194266666666,4.149605808184532,71.250167,92.363015,1.094150009853942,0.547075004926971
Soluciones,FxC,2000,2,4,43,71.82497713953488,3.466981216960132,67.113259,86.791479,1.1562567037832607,0.2890641759458152
Soluciones,FxC,2000,3,1,30,40.7614318,1.198224418758926,38.307701,43.289675,1.0,1.0
Soluciones,FxC,2000,3,2,30,21.278815233333333,1.2444068014702534,19.75717,24.321323,1.9155874682415157,0.9577937341207579
Soluciones,FxC,2000,3,4,30,11.998268099999997,0.6788415488353645,10.814348,13.399421,3.3972762952346436,0.8493190738086609
Soluciones,FxC,2000,5,1,30,20.705723899999995,0.9984845174459467,19.730613,25.058714,1.0,1.0
Soluciones,FxC,2000,5,2,30,10.816605533333334,0.4884367540949485,9.841596,11.818201,1.9142533982765246,0.9571266991382623
Soluciones,FxC,2000,5,4,30,6.278790099999999,0.540788344035105,5.42795,7.983317,3.2977251301966595,0.8244312825491649
Soluciones,FxC,3000,2,1,30,330.53456413333333,18.754410273289437,305.489331,387.570644,1.0,1.0
Soluciones,FxC,3000,2,2,30,309.7876760333333,20.98931992464189,286.401612,380.052149,1.0669713152106401,0.5334856576053201
Soluciones,FxC,3000,2,4,30,289.7817287,12.729282239452168,274.708399,333.005886,1.1406328674211315,0.28515821685528286
Soluciones,FxC,3000,3,1,30,155.77543193333335,3.1489171151096595,150.82665,165.551296,1.0,1.0
Soluciones,FxC,3000,3,2,30,80.14333216666668,4.298991640628733,76.334774,92.10366,1.9437104462961632,0.9718552231480816
Soluciones,FxC,3000,3,4,30,44.755159033333335,1.9605284215037273,41.416976,49.838167,3.480613973850766,0.8701534934626916
Soluciones,FxC,3000,4,1,30,105.41382716666666,3.1495071846012412,101.561144,115.060547,1.0,1.0
Soluciones,FxC,3000,4,2,30,54.045450766666676,2.187869609304569,51.077329,60.429981,1.950466240383033,0.9752331201915165
Soluciones,FxC,3000,4,4,30,30.98591873333333,1.3047983992372925,29.009002,34.096236,3.401991339158421,0.8504978347896053
Soluciones,FxC,3000,5,1,30,80.1184352,3.8291777440718984,77.475859,93.813756,1.0,1.0
Soluciones,FxC,3000,5,2,30,41.63349036666666,2.2929807691535706,39.084518,47.900202,1.9243746919702371,0.9621873459851186
Soluciones,FxC,3000,5,4,30,23.3606355,0.9133952699042733,21.989441,25.701757,3.4296342323392697,0.8574085580848174
Soluciones,FxT,500,2,1,30,0.5250517,0.02177513316820596,0.490042,0.565888,1.0,1.0
Soluciones,FxT,500,2,2,30,0.5310140000000001,0.023902730643315565,0.498058,0.589693,0.9887718591223582,0.4943859295611791
Soluciones,FxT,500,2,4,30,0.5272854333333333,0.022579332829218927,0.498137,0.598094,0.9957637112802219,0.24894092782005547
Soluciones,FxT,500,3,1,30,0.2921205666666666,0.022706139754037562,0.263921,0.347425,1.0,1.0
Soluciones,FxT,500,3,2,30,0.17932240000000002,0.011299320826705808,0.165019,0.203014,1.6290244089230712,0.8145122044615356
Soluciones,FxT,500,3,4,30,0.13169323333333333,0.02294137647868544,0.107761,0.182059,2.2181896462916213,0.5545474115729053
Soluciones,FxT,500,5,1,30,0.16327523333333333,0.011784334896110096,0.148025,0.19465,1.0,1.0
Soluciones,FxT,500,5,2,30,0.1068259,0.005565832418147041,0.09653,0.114777,1.5284236625512475,0.7642118312756238
Soluciones,FxT,500,5,4,30,0.07744979999999999,0.008762390184859616,0.068081,0.096103,2.1081427367576593,0.5270356841894148
Soluciones,FxT,1000,2,1,30,4.0169332,0.09306331429041861,3.847104,4.216684,1.0,1.0
Soluciones,FxT,1000,2,2,30,4.0180937666666665,0.0736800329760884,3.894153,4.155474,0.9997111648622304,0.4998555824311152
Soluciones,FxT,1000,2,4,30,4.0325086,0.0705592319434897,3.923854,4.17288,0.9961375407854061,0.24903438519635152
Soluciones,FxT,1000,3,1,30,2.1639581333333333,0.11509438936944949,2.004345,2.475973,1.0,1.0
Soluciones,FxT,1000,3,2,30,1.2231706,0.04409292964089868,1.110148,1.307211,1.7691384450650902,0.8845692225325451
Soluciones,FxT,1000,3,4,30,0.6682882666666669,0.0931518545590398,0.557076,0.992067,3.238060940568161,0.8095152351420403
Soluciones,FxT,1000,5,1,30,1.1177306666666664,0.06188809896754054,1.026676,1.286271,1.0,1.0
Soluciones,FxT,1000,5,2,30,0.6649963666666666,0.039746067110997964,0.610694,0.746353,1.6808071783449843,0.8404035891724921
Soluciones,FxT,1000,5,4,30,0.39244086666666667,0.033816889712740855,0.347726,0.503266,2.8481505408967767,0.7120376352241942
Soluciones,FxT,2000,2,1,30,31.9514963,0.21765289872752203,31.522988,32.268506,1.0,1.0
Soluciones,FxT,2000,2,2,30,31.86866996666667,0.1965095924745564,31.486607,32.255395,1.0025989893340375,0.5012994946670187
Soluciones,FxT,2000,2,4,30,31.76087033333333,0.17657275314887813,31.446983,32.099526,1.0060019125630384,0.2515004781407596
Soluciones,FxT,2000,3,1,30,16.02729406666667,0.3978244888734777,15.472578,17.220734,1.0,1.0
Soluciones,FxT,2000,3,2,30,8.9374827,0.28221362838693775,8.402734,9.426955,1.793267142958125,0.8966335714790625
Soluciones,FxT,2000,3,4,30,5.229482466666668,0.26736358151423606,4.784171,5.733072,3.064795449420954,0.7661988623552385
Soluciones,FxT,2000,5,1,30,8.374267533333333,0.24873110252040484,7.995361,9.075903,1.0,1.0
Soluciones,FxT,2000,5,2,30,4.772119099999999,0.20674145383051554,4.258309,5.24037,1.7548320479539863,0.8774160239769931
Soluciones,FxT,2000,5,4,30,2.8134134,0.27347470858962314,2.380495,3.708344,2.9765506673613387,0.7441376668403347
Soluciones,FxT,3000,2,1,30,106.6951035,0.6284220537781992,105.739841,108.898872,1.0,1.0
Soluciones,FxT,3000,2,2,30,106.88440433333335,0.8636320434927551,105.735003,109.70833,0.9982289199765478,0.4991144599882739
Soluciones,FxT,3000,2,4,30,107.2352249,0.7771115163714458,106.14059,110.59908,0.9949632091460275,0.24874080228650688
Soluciones,FxT,3000,3,1,30,54.3295927,0.7232832931514054,53.18025,55.56807,1.0,1.0
Soluciones,FxT,3000,3,2,30,28.6610825,0.4900075357207837,27.972938,29.705844,1.8955876038527157,0.9477938019263579
Soluciones,FxT,3000,3,4,30,16.216524633333332,0.5622008471195109,15.278587,17.52496,3.3502611643634563,0.8375652910908641
Soluciones,FxT,3000,4,1,30,36.50486256666667,0.47722807378289217,35.832363,37.589056,1.0,1.0
Soluciones,FxT,3000,4,2,30,19.422955566666666,0.47515595047772674,18.707112,20.759318,1.879470013786968,0.939735006893484
Soluciones,FxT,3000,4,4,30,11.062845966666666,0.41657701723968066,10.168151,12.014296,3.299771385831372,0.824942846457843
Soluciones,FxT,3000,5,1,30,27.683369466666665,0.5101304400300213,26.748275,28.612822,1.0,1.0
Soluciones,FxT,3000,5,2,30,14.669015399999997,0.335759401088154,14.247582,15.612217,1.8872002456733852,0.9436001228366926
Soluciones,FxT,3000,5,4,30,8.634063866666667,0.42834054520091397,7.848365,10.093893,3.206296582255225,0.8015741455638062
