,,eficiencia,eficiencia,media_s,media_s,speedup,speedup,std_s,std_s,delta_pct
algoritmo,,FxC,FxT,FxC,FxT,FxC,FxT,FxC,FxT,
N,hilos,,,,,,,,,
3000,1,1.0,1.0,105.41382716666666,36.50486256666667,1.0,1.0,3.1495071846012412,0.47722807378289217,65.36994856571337
3000,2,0.9752331201915165,0.939735006893484,54.045450766666676,19.422955566666666,1.950466240383033,1.879470013786968,2.187869609304569,0.47515595047772674,64.06181225035492
3000,4,0.8504978347896053,0.824942846457843,30.98591873333333,11.062845966666666,3.401991339158421,3.299771385831372,1.3047983992372925,0.41657701723968066,64.29718265940674
