,,eficiencia,eficiencia,media_s,media_s,speedup,speedup,std_s,std_s,delta_pct
algoritmo,,FxC,FxT,FxC,FxT,FxC,FxT,FxC,FxT,
N,hilos,,,,,,,,,
500,1,1.0,1.0,0.7095441333333333,0.5250517,1.0,1.0,0.0897949436175003,0.02177513316820596,26.001544465826974
500,2,0.5181136704521052,0.4943859295611791,0.6847379000000002,0.5310140000000001,1.0362273409042104,0.9887718591223582,0.04157692704573177,0.023902730643315565,22.450035261667285
500,4,0.2611775697255953,0.24894092782005547,0.6791778999999998,0.5272854333333333,1.0447102789023812,0.9957637112802219,0.05480631738907973,0.022579332829218927,22.36416506877896
1000,1,1.0,1.0,5.889563933333333,4.0169332,1.0,1.0,0.3629097940383321,0.09306331429041861,31.79574505906543
1000,2,0.5045990166199178,0.4998555824311152,5.835885266666667,4.0180937666666665,1.0091980332398356,0.9997111648622304,0.32580004060746515,0.0736800329760884,31.148513326381483
1000,4,0.2592168879698235,0.24903438519635152,5.680150683333334,4.0325086,1.036867551879294,0.9961375407854061,0.19130539831561125,0.0705592319434897,29.00701363729375
2000,1,1.0,1.0,83.04811131666666,31.9514963,1.0,1.0,4.591115940813291,0.21765289872752203,61.52652264641236
2000,2,0.547075004926971,0.5012994946670187,75.90194266666666,31.86866996666667,1.094150009853942,1.0025989893340375,4.149605808184532,0.1965095924745564,58.01336718531419
2000,4,0.2890641759458152,0.2515004781407596,71.82497713953488,31.76087033333333,1.1562567037832607,1.0060019125630384,3.466981216960132,0.17657275314887813,55.780187341192935
3000,1,1.0,1.0,330.53456413333333,106.6951035,1.0,1.0,18.754410273289437,0.6284220537781992,67.72043983365062
3000,2,0.5334856576053201,0.4991144599882739,309.7876760333333,106.88440433333335,1.0669713152106401,0.9982289199765478,20.98931992464189,0.8636320434927551,65.49752859702768
3000,4,0.28515821685528286,0.24874080228650688,289.7817287,107.2352249,1.1406328674211315,0.9949632091460275,12.729282239452168,0.7771115163714458,62.9944836822281
